age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
30,Private,249435,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,1,0,24,United-States,<=50K
36,Self-emp-not-inc,114743,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
62,Self-emp-inc,269134,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
67,Local-gov,92918,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,40,United-States,>50K
33,Private,113886,Bachelors,13,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,1,0,40,Philippines,<=50K
41,Private,67221,Masters,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,15291,0,59,India,>50K
28,Private,124906,10th,6,Never-married,Craft-repair,Not-in-family,White,Male,0,0,61,United-States,<=50K
33,Private,236579,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,?,<=50K
50,Private,125550,11th,7,Married-civ-spouse,Adm-clerical,Wife,White,Female,2,0,40,United-States,<=50K
22,Private,270018,HS-grad,9,Never-married,Sales,Own-child,White,Male,0,0,40,United-States,<=50K
43,Local-gov,101988,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,1,0,40,United-States,<=50K
28,Private,59001,12th,8,Married-civ-spouse,Other-service,Husband,White,Male,0,0,22,United-States,<=50K
44,Private,209952,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K
19,Federal-gov,131822,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
41,Local-gov,170501,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
41,?,162980,HS-grad,9,Married-civ-spouse,?,Wife,White,Female,0,0,36,United-States,<=50K
25,Private,198913,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K
40,?,241921,Some-college,10,Married-civ-spouse,?,Husband,White,Male,2,0,40,United-States,<=50K
58,Private,94760,7th-8th,4,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
30,Private,103420,HS-grad,9,Divorced,Handlers-cleaners,Husband,White,Male,0,0,60,United-States,<=50K
28,Private,81423,Doctorate,16,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,45,United-States,>50K
35,Private,208878,5th-6th,2,Married-spouse-absent,Machine-op-inspct,Unmarried,White,Female,0,0,40,Guatemala,<=50K
44,Private,161208,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,43,United-States,>50K
31,Self-emp-not-inc,110201,11th,7,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
23,?,99548,7th-8th,4,Never-married,?,Not-in-family,White,Male,2,0,24,United-States,<=50K
34,Self-emp-not-inc,305797,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,1,0,40,United-States,<=50K
35,Private,131915,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
22,Private,69186,HS-grad,10,Never-married,Adm-clerical,Own-child,White,Female,2,0,50,United-States,<=50K
28,Self-emp-not-inc,112309,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,1,0,34,United-States,<=50K
34,Local-gov,122372,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,India,>50K
33,Private,206873,7th-8th,4,Never-married,Handlers-cleaners,Not-in-family,White,Female,2,0,40,Mexico,<=50K
34,Private,142926,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,1,0,57,United-States,<=50K
46,Private,110666,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,2,0,46,United-States,>50K
54,Private,72683,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
24,?,112142,Some-college,10,Never-married,?,Not-in-family,White,Female,0,0,15,United-States,<=50K
43,Private,96124,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,2,0,55,United-States,>50K
26,Self-emp-not-inc,115660,Prof-school,5,Never-married,Craft-repair,Not-in-family,White,Male,0,0,58,United-States,<=50K
27,Private,125192,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,<=50K
51,Private,196572,Masters,14,Never-married,Other-service,Not-in-family,White,Female,1,0,37,United-States,<=50K
44,Local-gov,80863,Bachelors,13,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
46,Private,191473,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,1,0,40,United-States,<=50K
28,Private,78289,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,1,0,40,United-States,<=50K
27,Private,111821,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,2,0,33,United-States,<=50K
22,Private,91595,HS-grad,9,Never-married,Sales,Own-child,White,Male,0,0,21,United-States,<=50K
43,Self-emp-not-inc,88681,Bachelors,10,Divorced,Exec-managerial,Not-in-family,White,Female,1,0,59,United-States,<=50K
50,Private,135624,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,3,0,40,United-States,>50K
83,Self-emp-not-inc,101555,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,17,United-States,<=50K
50,Private,136846,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
35,Private,76804,Masters,12,Married-civ-spouse,Prof-specialty,Own-child,White,Female,0,0,46,United-States,>50K
39,Private,38918,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,7549,0,50,United-States,>50K
66,?,88440,Some-college,10,Married-civ-spouse,?,Husband,White,Male,7116,0,23,United-States,>50K
24,Private,133394,11th,7,Never-married,Craft-repair,Not-in-family,White,Male,0,0,46,United-States,<=50K
36,Private,101493,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,46,United-States,<=50K
35,Private,66885,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,2,0,40,United-States,<=50K
33,Self-emp-not-inc,156022,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,62,United-States,<=50K
63,Local-gov,115900,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K
33,Federal-gov,145723,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
31,Private,143870,Masters,14,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K
23,Private,79188,7th-8th,5,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
19,?,240111,Some-college,10,Never-married,?,Own-child,White,Male,0,0,21,United-States,<=50K
53,Private,98545,11th,7,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,<=50K
49,Private,238594,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,1,0,40,United-States,>50K
38,Private,86311,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,3,0,40,United-States,>50K
33,Private,186915,Bachelors,13,Married-civ-spouse,Exec-managerial,Own-child,White,Female,2,0,40,United-States,<=50K
40,Private,134380,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
38,Private,75866,7th-8th,4,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
47,Private,125826,9th,5,Divorced,Other-service,Unmarried,White,Female,1,0,40,United-States,<=50K
23,Private,114031,HS-grad,9,Never-married,Sales,Own-child,White,Male,2,0,55,United-States,<=50K
56,Private,79985,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,19,United-States,<=50K
32,Private,190377,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K
25,Self-emp-inc,96360,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,<=50K
20,Private,144186,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,36,United-States,<=50K
29,?,133736,Bachelors,10,Never-married,?,Unmarried,White,Female,0,0,10,United-States,<=50K
63,Federal-gov,186503,9th,5,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1759,45,United-States,>50K
25,Private,134225,Doctorate,8,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
17,Private,116936,7th-8th,4,Never-married,Other-service,Own-child,White,Male,3,0,15,United-States,<=50K
36,Private,149312,HS-grad,9,Divorced,Other-service,Not-in-family,Asian-Pac-Islander,Male,3,0,40,United-States,<=50K
55,Local-gov,187809,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,Black,Female,2829,0,40,United-States,<=50K
30,?,77736,Masters,14,Never-married,?,Unmarried,Asian-Pac-Islander,Female,1,0,10,United-States,<=50K
25,Self-emp-not-inc,62447,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
45,Private,132090,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,2,0,50,United-States,>50K
35,Self-emp-not-inc,116954,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,59,United-States,<=50K
27,?,130388,Bachelors,13,Never-married,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
77,?,98729,Some-college,10,Widowed,?,Not-in-family,White,Female,0,0,11,United-States,<=50K
20,Private,294877,5th-6th,2,Never-married,Priv-house-serv,Other-relative,White,Female,0,0,3,Mexico,<=50K
32,Private,139965,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,46,United-States,<=50K
37,Private,168865,Bachelors,13,Divorced,Sales,Not-in-family,White,Male,0,0,50,United-States,<=50K
30,Private,98636,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,1,0,44,United-States,<=50K
21,Private,185134,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,2,0,21,United-States,<=50K
32,Private,95998,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,<=50K
42,Local-gov,115316,Masters,12,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,1668,35,United-States,>50K
25,Private,114217,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,44,United-States,<=50K
33,Private,93209,Masters,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
25,Private,174294,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,<=50K
32,Local-gov,151565,HS-grad,4,Married-civ-spouse,Craft-repair,Husband,White,Male,1,0,40,United-States,<=50K
43,Private,60636,Bachelors,13,Never-married,Adm-clerical,Unmarried,White,Female,1,0,40,United-States,<=50K
49,Private,123640,Some-college,10,Divorced,Handlers-cleaners,Not-in-family,White,Male,1,0,40,United-States,<=50K
29,Private,119846,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,1775,40,United-States,<=50K
41,Self-emp-not-inc,70316,Some-college,10,Divorced,Other-service,Not-in-family,White,Male,1,0,40,United-States,<=50K
38,Private,236881,11th,7,Separated,Other-service,Unmarried,Black,Female,1,0,40,United-States,<=50K
42,Self-emp-inc,111539,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,59,United-States,>50K
28,Private,107792,11th,7,Separated,Adm-clerical,Unmarried,White,Female,2,0,40,United-States,<=50K
40,Private,83554,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,61,United-States,>50K
33,Private,182978,Some-college,10,Married-civ-spouse,Sales,Other-relative,White,Male,0,0,40,United-States,<=50K
47,Private,198919,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,0,0,37,United-States,<=50K
29,Private,236798,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,38,United-States,<=50K
21,State-gov,114160,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
40,Private,212460,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,>50K
30,Private,106206,HS-grad,9,Married-civ-spouse,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
40,Private,117270,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
28,Private,211354,HS-grad,9,Divorced,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,<=50K
43,Private,95029,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,1,0,59,United-States,>50K
33,?,65537,9th,5,Never-married,?,Unmarried,White,Female,0,0,4,United-States,<=50K
59,Private,134144,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Female,0,0,21,United-States,<=50K
58,Private,150464,7th-8th,9,Widowed,Other-service,Unmarried,Black,Female,2,0,35,United-States,<=50K
62,Self-emp-not-inc,102615,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,21,United-States,<=50K
42,Federal-gov,139002,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,3,0,40,United-States,>50K
28,Private,76854,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,White,Male,3,0,40,United-States,<=50K
47,Private,184915,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
47,Private,131764,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,2,0,45,United-States,>50K
70,?,129579,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,2348,0,14,United-States,<=50K
43,Local-gov,131490,Masters,13,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,40,United-States,>50K
56,Private,117322,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,2,0,40,United-States,>50K
22,State-gov,104143,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
39,Local-gov,116776,Masters,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,1,0,11,United-States,>50K
36,Self-emp-not-inc,85861,Some-college,10,Divorced,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,0,0,40,Philippines,<=50K
43,Local-gov,102309,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Female,1,0,50,United-States,<=50K
38,Private,145864,Masters,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,36,United-States,<=50K
50,Private,105052,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,>50K
29,?,116971,Assoc-voc,11,Never-married,?,Not-in-family,White,Female,2589,0,63,United-States,<=50K
64,Local-gov,95121,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
43,Private,118534,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,2,0,40,United-States,<=50K
43,Private,133703,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,0,0,54,United-States,<=50K
31,Local-gov,103325,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,2,0,15,United-States,<=50K
45,Private,117861,Masters,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,2,0,40,United-States,>50K
41,Private,97332,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,56,United-States,>50K
43,Private,203264,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,57,United-States,>50K
20,Private,108140,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,1,0,10,United-States,<=50K
24,Private,199032,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Female,0,0,24,United-States,<=50K
63,Private,108005,12th,13,Divorced,Farming-fishing,Not-in-family,White,Male,1,0,40,United-States,<=50K
41,Private,114008,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,15007,0,55,United-States,>50K
66,Private,215992,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,6795,0,40,United-States,>50K
20,?,176875,Bachelors,10,Never-married,?,Own-child,White,Female,0,0,8,United-States,<=50K
66,Self-emp-not-inc,164227,Prof-school,15,Married-civ-spouse,?,Husband,White,Male,0,0,14,United-States,<=50K
36,Private,118635,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,45,United-States,<=50K
32,Private,151108,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
51,Private,111183,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,23,United-States,>50K
27,Local-gov,105569,10th,11,Never-married,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
17,Private,104984,10th,6,Never-married,Adm-clerical,Own-child,White,Female,0,0,18,United-States,<=50K
37,Private,88855,HS-grad,9,Divorced,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
52,Private,52413,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
42,Private,246518,HS-grad,9,Married-civ-spouse,Other-service,Wife,Black,Male,0,0,15,United-States,>50K
41,Private,202586,Bachelors,13,Divorced,Sales,Not-in-family,White,Male,2,0,36,United-States,<=50K
38,Local-gov,122318,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,>50K
49,Private,197622,Assoc-acdm,12,Divorced,Farming-fishing,Not-in-family,White,Male,0,0,30,United-States,<=50K
24,Self-emp-not-inc,117586,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,3,0,50,United-States,<=50K
34,Private,77877,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,1,0,40,United-States,<=50K
31,Private,115417,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,0,0,59,United-States,<=50K
29,Private,106088,11th,7,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,<=50K
25,Private,239780,Bachelors,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
29,Private,166254,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,White,Female,2,0,40,United-States,<=50K
32,Private,101095,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,0,0,43,United-States,>50K
31,Private,169228,Assoc-acdm,4,Divorced,Adm-clerical,Wife,White,Female,1,1792,40,United-States,<=50K
26,Private,159381,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,2,0,23,United-States,<=50K
43,Private,72008,7th-8th,4,Married-civ-spouse,Craft-repair,Other-relative,Asian-Pac-Islander,Male,0,0,40,Philippines,<=50K
39,Private,121742,HS-grad,9,Never-married,Craft-repair,Unmarried,White,Male,0,0,57,United-States,<=50K
68,Private,136070,HS-grad,4,Widowed,Handlers-cleaners,Not-in-family,White,Female,0,0,40,United-States,<=50K
32,Private,94754,Prof-school,12,Married-civ-spouse,Adm-clerical,Wife,White,Female,2,0,43,United-States,>50K
33,Private,229374,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,>50K
34,Private,99568,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,62,United-States,<=50K
37,Local-gov,79122,Bachelors,13,Married-civ-spouse,Prof-specialty,Not-in-family,White,Female,33,0,40,United-States,>50K
30,Private,182046,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
48,Private,80506,10th,6,Never-married,Sales,Not-in-family,White,Female,1,0,37,United-States,<=50K
45,Local-gov,111254,Assoc-voc,11,Divorced,Adm-clerical,Own-child,White,Male,2,0,40,United-States,<=50K
26,Private,219344,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,30,United-States,<=50K
51,Self-emp-not-inc,147137,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
21,Private,206530,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,2,0,40,United-States,<=50K
53,Private,113857,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,1,0,37,United-States,<=50K
37,Private,131716,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
41,Private,180744,Prof-school,15,Divorced,Sales,Not-in-family,White,Male,1,0,40,United-States,<=50K
58,Private,163104,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,44,United-States,<=50K
39,Private,78270,Some-college,10,Divorced,Sales,Not-in-family,White,Male,0,0,57,United-States,<=50K
52,Private,78415,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,7086,0,40,United-States,<=50K
28,Private,115015,11th,7,Never-married,Other-service,Not-in-family,White,Female,2589,0,40,United-States,<=50K
28,Private,177530,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,70,United-States,<=50K
59,Private,83483,Some-college,10,Married-civ-spouse,Sales,Wife,White,Female,2,0,21,United-States,>50K
31,Private,100868,7th-8th,4,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,3670,0,40,Philippines,<=50K
60,Local-gov,154433,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
25,Private,113150,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,1,0,40,United-States,<=50K
45,Local-gov,161400,Masters,13,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,>50K
46,Private,195568,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,15010,0,40,United-States,>50K
34,Local-gov,155262,HS-grad,9,Divorced,Adm-clerical,Unmarried,Black,Female,1,0,40,United-States,<=50K
56,Private,127815,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,2690,0,40,United-States,<=50K
31,Private,120295,9th,5,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,1,0,58,India,<=50K
41,Private,151634,10th,6,Married-civ-spouse,Adm-clerical,Wife,White,Female,1,0,40,United-States,<=50K
25,Private,146596,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,40,United-States,<=50K
38,Private,57778,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,1,0,56,United-States,<=50K
30,Private,136174,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,45,United-States,<=50K
24,Private,120090,Some-college,10,Never-married,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
26,Local-gov,127953,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,37,United-States,<=50K
33,Private,150845,HS-grad,9,Divorced,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
26,Self-emp-inc,127077,Bachelors,10,Never-married,Exec-managerial,Not-in-family,White,Female,3,0,57,United-States,<=50K
44,Private,201867,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,40,United-States,<=50K
25,Private,115370,11th,7,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
38,Private,218427,1st-4th,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,4,0,40,United-States,<=50K
34,Private,151285,Masters,12,Married-civ-spouse,Exec-managerial,Wife,White,Female,5,0,40,United-States,<=50K
22,Private,106310,1st-4th,9,Never-married,Other-service,Own-child,Black,Female,0,0,27,Dominican-Republic,<=50K
34,Private,108210,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K
37,Private,107785,HS-grad,9,Divorced,Transport-moving,Unmarried,White,Male,3,0,50,United-States,<=50K
22,Private,109058,Some-college,10,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,1,0,40,United-States,<=50K
26,Self-emp-not-inc,139519,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
33,Private,140711,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
28,Local-gov,152243,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,49,United-States,<=50K
